event_slug,event_title,market_id,question,decision_date,rate_move_bps,rate_move_label,observed_ts,observed_day,close_price
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1721952002.0,2024-07-26,0.014
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1722038402.0,2024-07-27,0.003
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1722124802.0,2024-07-28,0.006
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1722211202.0,2024-07-29,0.006
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1722297601.0,2024-07-30,0.0065
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502385,Fed decreases interest rates by 50+ bps after July 2024 meeting?,2024-07-31,,,1722384002.0,2024-07-31,0.0045
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718236803.0,2024-06-13,0.07
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718323203.0,2024-06-14,0.07
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718409604.0,2024-06-15,0.075
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718496004.0,2024-06-16,0.0745
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718582404.0,2024-06-17,0.0745
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718668803.0,2024-06-18,0.074
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718755203.0,2024-06-19,0.077
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718841604.0,2024-06-20,0.076
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1718928003.0,2024-06-21,0.076
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719014402.0,2024-06-22,0.0655
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719100803.0,2024-06-23,0.065
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719187203.0,2024-06-24,0.065
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719273603.0,2024-06-25,0.065
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719360003.0,2024-06-26,0.065
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719446402.0,2024-06-27,0.066
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719532803.0,2024-06-28,0.073
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719619202.0,2024-06-29,0.0655
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719705602.0,2024-06-30,0.0675
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719792002.0,2024-07-01,0.068
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719878403.0,2024-07-02,0.067
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1719964802.0,2024-07-03,0.0675
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720051203.0,2024-07-04,0.067
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720137602.0,2024-07-05,0.071
fed-interest-rates-july-2024,Fed Interest Rates: July 2024,502386,Fed decreases interest rates by 25 bps after July 2024 meeting?,2024-07-31,,,1720224002.0,2024-07-06,0.068
